Tick,112194,281015,4319519,4477254,4154872,4419276,4393057,312453,4344371,4396717,332714,152987,2254348,4409398,4476653,644221,8028,2000710,269901,144230,4436552,4389705,141145,4307347,4449458,1105121,4234219,137056,6047,189083,1749079,1129599,4347159,4327233,4303249,1105919,584176,4313650,4352233,4410166,4423410,316724,210201,4474759,1109067,241289,1126297,4254313,4421830,4297171,292537,516809,589376,820575,4381553,151176,103166,21214,1082607,4432796,4339351,1010458,4375268,4322414,71872,1096610,4460853,4379869,85367,4335293,133961,308848,13226,817926,3039313,1015518,210269,4431803,99774,587391,164500,New.ReferenceOTU219,4455257,4381430,816411,3908639,4340358,576010,878765,2534143,4436468,141105,111659,4338661,350563,4383918,1000986,178885,4452050,815498,509480,704267,196652,566357,4389957,7316,622571,533999,4453466,2750874,691423,924547,825808,4425214,513757,4313865,4376649,4417811,2783438,823916,191660,4338074,617340,4343627,4377842,347053,3327894,4323733,4449608,698236,222699,4434741,316924,1830364,5364,191698,4438545,1090165,715885,4344056,4400735,239139,320478,1001908,4369927,4420570,4331736,4333206,3581985,4474083,92920,4428929,4384058,870106,4453501,1144796,914364,719803,New.ReferenceOTU132,199301,577289,4422405,1532107,268162,944401,592087,4368600,352392,4336253,103410,4365130,4371341,4429335,New.CleanUp.ReferenceOTU94879,New.CleanUp.ReferenceOTU71266,4467214,4449055,2530636,7821,979344,217266,New.ReferenceOTU257,New.CleanUp.ReferenceOTU4893,966903,933546,4469722,4467992,841635,305668,9727,4455618,152001,165489,New.CleanUp.ReferenceOTU137766,1097610,New.ReferenceOTU150,4449054,28841,13332,149907,4452118,4057266,277094,4301374,403701,1705765,1118253,4474255,New.ReferenceOTU356,1634493,4447188,New.CleanUp.ReferenceOTU179849,4480861,4457554,4479347,New.CleanUp.ReferenceOTU135117,4299126,353576,992035,3994882,4327501,744371,326083,3191490,1952,4453609,4456068,512238,222868,136025,New.CleanUp.ReferenceOTU150434,1005844,551638,4371191,347640,New.CleanUp.ReferenceOTU52660,2932342,4310398,New.CleanUp.ReferenceOTU108872,1105574,New.ReferenceOTU352,4466006,4425394,4356641,4321559,727218,4128270,786735,130002,1079708,163243,887931,4445096,4474736,4449456,4294457,973092,2706576,4303191,305967,689696,1105948,536121,563693,4411138,678813,1145616,New.CleanUp.ReferenceOTU170183,4469253,4471122,4331180,23513,4483034,212159,4469924,161423,827453,173773,744710,New.CleanUp.ReferenceOTU112049,4418395,271159,3490230,188840,766020,1100972,4438565,4413214,4362165,197072,641481,4483015,967097,4402734,1119668,3692328,New.CleanUp.ReferenceOTU89346,3244896,4397109,New.CleanUp.ReferenceOTU34270,4425634,316732,50765,2792176,814442,573135,4439603,New.CleanUp.ReferenceOTU83823,327694,149938,4472112,New.CleanUp.ReferenceOTU175591,4421183,163857,243500,292400,4353264,104678,4427546,4468125,281659,922365,4481801,4404220,1138326,New.CleanUp.ReferenceOTU111910,4299448,4387092,New.ReferenceOTU13,322743,4442130,818415,951659,4294683,1018359,761711,64653,338398,4424700,160917,4399515,4470706,4469492,4307247,212239,254432,528865,3562626,4404139,4295230,937813,222534,60179,New.ReferenceOTU162,160064,4375646,4354703,611668,99430,964220,4389958,217392,1010721,581015,557799,New.CleanUp.ReferenceOTU143406,583102,3290764,827314,4430843,663573,4473883,New.CleanUp.ReferenceOTU36304,New.CleanUp.ReferenceOTU126332,30983,545721,4449609,New.CleanUp.ReferenceOTU35333,New.CleanUp.ReferenceOTU78027,312988,4456889,New.CleanUp.ReferenceOTU54004
RJB21,4338,2,4617,0,76,4,1,0,1,1,7,1,0,40,0,0,4,29,23,0,0,18,15,0,8,19,0,4,2,0,11,0,0,0,0,6,0,0,0,0,0,16,0,3,0,0,0,0,12,17,12,4,0,0,4,0,0,16,0,0,0,1,0,0,0,0,0,7,8,0,0,0,0,0,0,1,7,1,0,0,0,0,0,5,0,2,0,0,0,0,0,7,0,6,0,0,0,6,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,8,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,7,0,0,0,0,0,3,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,35,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,5,0,0,0,5,0,0,0,16,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
007CT,2,8,4063,575,0,386,0,0,0,302,0,0,151,12,0,0,0,0,0,0,0,0,3,359,0,0,0,14,0,0,0,81,0,0,9,532,0,312,0,0,0,0,38,0,14,0,0,0,0,0,0,1,0,3,13,33,27,0,0,0,0,50,0,0,39,0,0,1,19,0,50,0,4,0,0,0,5,107,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,247,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,108,0,0,0,21,3,0,0,17,0,18,0,43,32,5,13,0,0,0,0,103,0,1,19,0,0,0,0,0,0,9,0,0,0,0,26,0,0,0,0,0,9,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,52,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,18,0,0,0,5,0,0,0,26,0,56,0,0,0,0,0,12,27,0,0,7,0,0,38,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,62,0,0,0,0,0,0,0,2,4,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,10,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,84,0,0,0,0,42,0,0,0,0,0,0,0,0,58,0,0,0,0,0,14,0,0,0,0,0,0,0
RJB39,578,3,3988,0,278,0,764,823,0,31,1,0,0,177,0,61,0,0,257,0,0,108,16,0,92,3,0,73,0,0,1,0,0,31,19,3,0,1,91,0,3,0,13,0,58,1,17,0,64,27,0,0,18,2,0,0,0,42,87,2,38,0,0,0,0,0,88,35,31,0,0,0,0,0,0,0,0,11,1,0,5,0,0,0,0,9,0,12,3,0,0,17,0,0,23,0,28,0,9,2,6,13,0,0,0,0,0,0,31,11,0,0,0,3,1,0,0,0,27,5,0,0,0,0,25,0,0,3,0,5,14,0,0,0,19,3,0,24,0,8,15,12,0,0,0,3,0,0,16,10,0,0,0,0,0,0,0,0,1,0,27,0,0,0,11,0,0,0,1,0,0,0,0,7,0,0,0,0,0,11,36,0,2,0,24,0,0,1,19,0,6,10,1,0,0,0,0,21,11,0,0,0,0,0,1,20,0,0,0,23,0,0,0,0,8,0,0,0,0,0,0,9,0,37,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,9,0,18,6,0,48,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,34,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,23,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,14,0,0,11,1,0
RJB40,1706,6,3675,1,53,0,339,392,0,28,0,0,0,20,0,0,4,13,69,0,0,24,3,9,20,7,0,12,0,0,0,0,0,182,126,1,0,7,88,1,31,4,59,0,301,2,5,0,9,3,0,0,28,68,0,23,0,2,24,0,27,0,0,0,0,18,71,2,3,0,0,0,15,0,0,0,4,54,0,0,188,0,0,0,0,4,0,1,3,2,0,7,0,0,5,0,40,0,0,18,3,6,0,0,0,0,3,0,47,26,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,3,23,14,7,0,0,0,29,38,0,11,2,6,8,16,0,0,0,22,0,28,5,2,0,0,0,10,0,0,0,0,0,0,0,1,6,0,34,0,0,0,15,0,0,0,0,80,0,0,0,0,0,8,13,0,4,46,11,0,0,0,38,0,5,1,0,0,3,0,0,8,3,0,0,0,0,0,1,8,0,0,0,16,0,0,0,4,0,0,0,1,0,0,0,8,0,0,0,0,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,13,3,0,9,0,0,0,2,4,0,0,0,0,10,0,11,0,6,1,0,0,0,0,0,0,0,0,1,0,6,0,5,0,0,0,2,0,0,0,17,0,2,9,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,5,0,0,0,0,0,0,89,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
RJB38,142,7,3328,0,140,0,1216,555,0,2,17,0,0,89,0,28,18,0,439,0,0,21,1,153,40,0,0,11,0,0,1,0,0,49,164,6,0,2,120,0,0,0,137,0,92,0,43,0,30,9,0,11,82,12,1,3,0,8,18,31,31,0,0,0,0,0,3,14,0,0,0,0,0,0,0,25,0,8,1,0,13,0,0,0,0,0,0,0,29,0,0,7,0,0,11,0,0,0,0,39,13,17,20,0,0,0,21,0,22,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,55,0,5,109,0,0,0,26,51,0,107,0,55,0,50,0,10,0,0,0,15,7,0,0,0,0,5,0,0,0,0,0,1,0,14,0,0,29,0,0,0,36,0,0,0,0,4,0,0,0,0,0,81,20,0,2,1,0,10,0,0,22,0,0,2,0,0,0,0,0,39,5,0,0,0,0,0,0,27,0,0,0,37,0,3,0,0,24,0,0,0,1,0,0,16,0,4,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,52,5,0,7,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,38,0,70,0,0,0,0,0,0,0,0,4,0,0,0,0,1,12,30,0,0,0,0,0,0,0,0,11,0,32,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,19,27,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
063NY,91,0,3132,2199,0,1468,0,0,0,338,0,0,644,40,0,0,0,1,0,0,0,0,0,126,0,0,0,114,0,30,1,149,0,0,0,0,0,16,0,1,0,0,154,0,0,0,0,0,0,0,0,19,0,0,0,0,93,0,0,0,0,0,0,0,52,0,0,7,0,0,73,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,43,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,98,0,0,0,130,10,0,65,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
RJB36,1901,395,2694,0,190,0,668,337,2,15,3,0,0,116,0,361,0,10,328,0,68,41,7,0,9,10,47,20,0,77,24,0,0,17,68,0,0,0,53,0,28,5,26,12,50,7,2,33,34,28,31,23,11,9,3,8,0,3,54,0,14,4,0,8,0,14,27,27,32,14,0,0,3,0,0,10,0,1,0,0,3,0,23,17,0,2,4,11,0,2,0,4,0,20,6,0,0,10,15,16,8,8,0,0,0,0,0,0,37,0,1,1,4,0,0,0,0,0,0,5,17,12,0,0,11,0,20,0,0,0,0,0,0,0,0,12,0,0,9,15,7,7,0,5,0,13,0,11,0,0,0,23,0,14,0,0,0,0,3,15,0,0,2,0,13,0,0,0,0,0,0,0,0,17,0,0,0,12,0,0,0,0,2,0,7,0,34,20,17,0,0,2,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,16,0,0,14,0,0,10,5,0,0,0,10,0,5,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,17,0,0,0,14,0,14,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,9,0,0,0,22,12,0,0,0,0,0,0,0,8,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,6,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,1,0,0
RJB18,6828,0,2392,0,0,0,65,9,0,5,10,0,0,0,0,1,0,35,28,0,0,0,1,0,0,24,0,11,0,0,0,0,0,12,1,4,0,0,5,0,2,22,4,0,4,0,0,0,0,0,0,3,4,2,0,0,0,0,0,0,88,2,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,12,0,0,4,1,0,8,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,68,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
RJB37,3105,1938,1739,1,39,0,162,99,0,51,9,0,5,9,0,903,0,16,62,0,0,8,56,0,13,15,0,30,0,0,47,0,0,12,43,0,0,0,6,0,20,2,14,0,5,1,25,0,7,4,6,0,9,1,0,0,0,0,30,10,0,4,0,0,0,0,23,2,0,0,0,0,30,6,0,0,13,0,1,0,2,0,0,0,0,24,6,3,15,0,0,0,0,0,0,0,13,0,0,24,12,0,0,0,0,0,180,57,10,0,6,7,0,0,0,0,0,0,6,1,34,0,0,0,1,0,0,0,0,4,37,0,0,0,3,14,0,0,0,0,0,6,0,0,0,0,0,6,7,0,0,1,1,0,0,0,24,0,1,8,0,0,4,0,2,0,6,0,6,1,1,0,0,2,0,0,0,0,0,0,0,0,5,16,5,0,0,1,1,0,3,0,9,0,0,0,0,2,13,0,0,1,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,5,0,0,0,0,3,0,0,9,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,6,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RJB17,7246,2,1549,0,14,0,121,146,0,0,20,0,0,14,0,0,0,39,25,0,10,0,0,0,3,41,0,0,0,22,0,0,1,0,14,0,0,1,22,0,0,26,0,0,8,0,0,23,1,4,14,16,0,6,0,4,0,6,3,19,33,0,0,0,0,0,1,1,0,0,0,0,4,4,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,2,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,5,3,0,0,0,9,4,0,6,13,0,0,0,0,0,0,0,0,15,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,20,0,3,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
RJB43,554,0,1407,0,1598,0,0,0,41,0,1,0,0,675,0,0,0,2,18,0,0,310,25,0,427,0,0,448,0,0,0,39,0,0,1,25,0,0,0,0,0,1,0,0,0,20,0,0,181,266,0,0,2,0,0,0,29,287,189,0,0,22,1,40,0,0,0,121,71,0,0,0,93,46,0,218,0,0,0,0,80,0,0,0,0,84,0,145,0,0,0,36,0,0,0,0,81,0,0,13,71,0,69,0,0,0,1,0,0,0,0,0,0,0,0,37,0,0,77,8,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,49,48,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,61,0,0,18,0,0,0,0,0,1,0,0,0,0,43,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,14,0,0,30,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,30,0,0,0,0,0,0,0,24,40,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,31,0,0
